dept,Month of resignation,age_group,POSTDIC SCORE 2021,postdic,promoted,travel,distance,marital,edu,grad,Status,age_left,age_joined,duration,salary,experience
COMMERCIAL,6.0,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,26.7,Single,PC,L,left,24.0,23,17,3030.0,1.0
CALL CENTRE,9.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,30.0,Single,Dip,L,left,28.0,28,7,1800.0,2.0
CREATIVE,,20-24,NOT APPLICABLE,3.0 - 3.9 [Good Work Attitude],NO,NO,26.2,Married,Dip,L,stay,24.0,23,17,3000.0,1.0
CALL CENTRE,,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],YES,NO,24.4,Married,Dg,L,stay,26.0,25,16,2270.0,3.0
CALL CENTRE,,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,6.9,Single,Dg,L,stay,26.0,25,16,1900.0,1.0
CREATIVE,,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,44.9,Single,Dg,L,stay,27.0,26,15,3600.0,3.0
CALL CENTRE,,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,23.8,Married,Dip,L,stay,28.0,28,2,1900.0,8.0
CREATIVE,,25-29,NOT APPLICABLE,3.0 - 3.9 [Good Work Attitude],NO,YES,8.7,Single,Dip,L,stay,26.0,25,14,1900.0,5.0
ANALYTICS,10.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,YES,9.7,Married,Dg,L,left,28.0,28,6,3500.0,1.0
PRODUCTS,,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,12.6,Married,Dg,L,stay,27.0,26,14,3300.0,2.0
COMMERCIAL,4.0,20-24,NOT APPLICABLE,NOT APPLICABLE,NO,NO,16.0,Single,PC,L,left,23.0,22,9,2780.0,1.0
ANALYTICS,,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,2.1,Single,Dg,L,stay,25.0,24,13,3390.0,1.0
DIGITAL MARKETING,2.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,0.2,Single,Dg,O,left,26.0,25,6,3200.0,1.0
DIGITAL MARKETING,,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,27.9,Single,Dg,L,stay,26.0,25,12,3320.0,1.0
ANALYTICS,,30-34,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,27.4,Single,Dg,O,stay,30.0,29,12,3380.0,4.0
SYSTEM,,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,36.8,Single,Dg,L,stay,27.0,26,9,3380.0,3.0
SYSTEM,,30-34,NOT APPLICABLE,3.0 - 3.9 [Good Work Attitude],NO,NO,15.6,Single,Dg,O,stay,30.0,29,9,3310.0,2.0
SYSTEM,,30-34,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,27.3,Single,Dg,O,stay,31.0,30,9,3330.0,5.0
SYSTEM,,20-24,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,5.4,Single,Dg,L,stay,24.0,23,9,3320.0,1.0
SYSTEM,,20-24,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,21.4,Single,Dg,L,stay,24.0,23,9,3350.0,1.0
CREATIVE,,35-39,NOT APPLICABLE,3.0 - 3.9 [Good Work Attitude],NO,YES,15.0,Married,Dip,L,stay,37.0,36,14,4640.0,14.0
ANALYTICS,6.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,34.9,Married,Dg,L,left,28.0,27,9,3200.0,4.0
DIGITAL MARKETING,5.0,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,27.6,Single,Dg,L,left,26.0,25,8,3200.0,3.0
CALL CENTRE,,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,2.1,Married,HS,L,stay,29.0,28,8,1800.0,8.0
ANALYTICS,,20-24,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,13.4,Single,Dg,O,stay,24.0,23,7,3330.0,1.0
ANALYTICS,,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,NO,28.9,Married,Dg,O,stay,26.0,25,7,3350.0,3.0
CALL CENTRE,12.0,20-24,NOT APPLICABLE,NOT APPLICABLE,NO,NO,24.3,Single,Dg,L,left,23.0,23,2,1800.0,1.0
CALL CENTRE,,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,NO,2.1,Married,HS,L,stay,33.0,32,7,1700.0,11.0
CALL CENTRE,,20-24,NOT APPLICABLE,NOT APPLICABLE,NO,NO,3.2,Single,Dip,L,stay,22.0,21,7,1800.0,1.0
COMMERCIAL,,25-29,NOT APPLICABLE,Above 4.0 [Positive Influence],NO,YES,16.7,Single,Dg,O,stay,27.0,26,7,3455.0,1.0
CALL CENTRE,2.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,10.5,Single,Dip,L,left,26.0,25,7,1800.0,5.0
CALL CENTRE,,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,NO,2.1,Married,Sijil,L,stay,30.0,29,5,1800.0,8.0
CALL CENTRE,,20-24,NOT APPLICABLE,NOT APPLICABLE,NO,NO,2.3,Single,Dip,L,stay,23.0,23,4,1800.0,6.0
CALL CENTRE,2.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,53.8,Single,Dg,L,left,25.0,25,0,2800.0,0.0
CORPORATE SERVICES,,45-49,NOT APPLICABLE,NOT APPLICABLE,NO,NO,0.6,Married,HS,L,stay,48.0,48,4,1500.0,0.0
CALL CENTRE,,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,4.0,Married,HS,L,stay,26.0,26,3,1700.0,8.0
CREATIVE,,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,27.3,Single,Dg,L,stay,28.0,28,3,3200.0,5.0
SYSTEM,,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,3.6,Single,Dg,L,stay,25.0,25,2,3200.0,2.0
SYSTEM,,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,8.1,Single,Dg,O,stay,29.0,29,2,3200.0,0.0
COMMERCIAL,,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,39.6,Single,PC,L,stay,26.0,26,2,3300.0,1.0
DIGITAL MARKETING,,20-24,NOT APPLICABLE,NOT APPLICABLE,NO,NO,23.7,Single,Dg,L,stay,24.0,24,2,3200.0,3.0
COMMERCIAL,,20-24,NOT APPLICABLE,NOT APPLICABLE,NO,NO,0.0,Single,Dg,O,stay,23.0,23,2,2800.0,0.0
ANALYTICS,,20-24,NOT APPLICABLE,NOT APPLICABLE,NO,NO,43.0,Single,Dg,L,stay,24.0,24,1,3200.0,0.0
CORPORATE SERVICES,,35-39,NOT APPLICABLE,NOT APPLICABLE,NO,NO,2.4,Single,HS,L,stay,39.0,39,1,1500.0,0.0
CALL CENTRE,,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,25.3,Single,STP,L,stay,28.0,28,1,1800.0,8.0
CREATIVE,,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,YES,20.5,Single,Dip,L,stay,34.0,34,0,3400.0,14.0
