dept,Month of resignation,age_group,POSTDIC SCORE 2021,postdic,promoted,travel,distance,marital,edu,grad,Status,age_left,age_joined,duration,salary,experience
PRODUCTS,,25-29,Above 4.0 [Positive Influence],3.0 - 3.9 [Good Work Attitude],NO,NO,30.2,Single,Dg,L,stay,29.0,24,56,4000.0,5.0
COMMERCIAL,7.0,25-29,Above 4.0 [Positive Influence],NOT APPLICABLE,NO,YES,24.2,Married,Dg,L,left,26.0,22,45,6000.0,7.0
ANALYTICS,,30-34,3.0 - 3.9 [Good Work Attitude],Above 4.0 [Positive Influence],YES,YES,18.710045662100455,Married,Dg,O,stay,34.0,29,56,6200.0,8.0
COMMERCIAL,9.0,30-34,NOT APPLICABLE,NOT APPLICABLE,YES,YES,14.9,Married,M,O,left,28.0,24,48,7250.0,6.0
SYSTEM,8.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,14.5,Married,Dg,L,left,27.0,25,30,5300.0,6.0
PRODUCTS,2.0,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,NO,3.0,Married,M,L,left,28.0,26,25,3585.0,4.0
PRODUCTS,9.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,0.4,Married,Dg,L,left,27.0,25,27,3375.0,4.0
DIGITAL MARKETING,,30-34,Above 4.0 [Positive Influence],Above 4.0 [Positive Influence],NO,NO,11.3,Married,Dg,L,stay,30.0,26,52,4000.0,5.0
PRODUCTS,,35-39,Above 4.0 [Positive Influence],Above 4.0 [Positive Influence],NO,NO,4.5,Married,M,L,stay,35.0,31,52,5300.0,12.0
CREATIVE,2.0,25-29,3.0 - 3.9 [Good Work Attitude],NOT APPLICABLE,NO,NO,10.9,Single,Dg,L,left,26.0,23,36,3500.0,4.0
COMMERCIAL,6.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,27.0,Single,Dg,L,left,26.0,25,16,3760.0,6.0
CREATIVE,12.0,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,YES,34.0,Single,Dg,L,left,30.0,28,33,3360.0,7.0
DIGITAL MARKETING,,25-29,Above 4.0 [Positive Influence],Above 4.0 [Positive Influence],NO,YES,21.0,Single,Dg,L,stay,26.0,23,37,4350.0,3.0
PRODUCTS,,25-29,Above 4.0 [Positive Influence],Above 4.0 [Positive Influence],NO,YES,16.6,Single,Dg,O,stay,27.0,23,50,6300.0,8.0
SYSTEM,9.0,25-29,Above 4.0 [Positive Influence],NOT APPLICABLE,NO,NO,14.8,Single,Dg,L,left,28.0,25,40,5600.0,7.0
ANALYTICS,9.0,30-34,Above 4.0 [Positive Influence],NOT APPLICABLE,NO,YES,10.4,Married,Dg,O,left,29.0,26,40,4800.0,4.0
COMMERCIAL,7.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,YES,27.0,Single,Dg,L,left,26.0,25,14,3600.0,5.0
SYSTEM,10.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,38.4,Single,Dg,L,left,26.0,25,16,3680.0,4.0
DIGITAL MARKETING,9.0,30-34,NOT APPLICABLE,NOT APPLICABLE,NO,NO,14.3,Married,Dg,L,left,29.0,28,13,3710.0,4.0
CREATIVE,,25-29,3.0 - 3.9 [Good Work Attitude],3.0 - 3.9 [Good Work Attitude],NO,YES,12.7,Single,Dg,L,stay,27.0,23,43,4230.0,4.0
SYSTEM,4.0,25-29,NOT APPLICABLE,NOT APPLICABLE,NO,NO,18.4,Single,Dg,L,left,25.0,24,5,3385.0,4.0
SYSTEM,6.0,25-29,3.0 - 3.9 [Good Work Attitude],Above 4.0 [Positive Influence],NO,NO,11.2,Married,M,O,left,28.0,24,43,5600.0,4.0
